100003,ceramics,The study of the creation and design of ceramic artefacts.,"Includes all ceramics within arts and crafts areas. For ceramics as materials science or technology, use materials science."
100005,clinical engineering,"The study of the principles of engineering as they apply to the design, development and maintenance of equipment used for diagnosing illness and treating patients.",There are NHS accredited BSc Clinical Engineering programmes for entry to the Clinical Engineer profession. Biomedical engineering can lead into further training in this too.
100033,metallurgy,"The study of the development, processing, enhancement, modification and application of metallic materials.",
100035,musical theatre,The study of the definition and styles of music within the theatrical arena.,
100036,optometry,"The study of the principles and techniques for examining, diagnosing and treating conditions of the human visual system.",
100037,orthoptics,The study of principles and techniques for the correction of vision defects in humans using therapeutic exercises.,
100038,pathobiology,The study of the biological nature of diseases.,
100046,creative writing,The study of the creation of fictional text.,
100048,design,"The study of design for everyday objects, taking into account technology and commerce as well as appearance and current art thinking.",May involve the use of computers as design tools.
100050,product design,"The study of/training in the design of industrial and consumer products to meet aesthetic, functional and commercial requirements.",
100051,textile design,The study of/training in the design of textiles.,
100052,ergonomics,The study of the efficiency and effectiveness of the interface between people and machines.,
100054,fashion,"A broad subject which covers every aspect of the fashion process, from initial design concept to the production of a catwalk collection.","May include pattern-cutting and garment production, CAD, illustration, concept development and communication, design, trend forecasting, and fashion business and marketing."
100055,fashion design,The study of/training in the design and use of textiles and other materials to create items of apparel.,
100057,animation,"The study of/training in the particular techniques associated with the creation of the illusion of movement in a video sequence, by the filming of successive drawings or the positions of puppets.","For computer generated visual effects, including CGI animation, use 'computer animation and visual effects'."
100058,film studies,"The study of communication between people through film, concentrating on business, management and financial aspects and not on the production of the artwork and ideas themselves.","May involve study of the film industry, technical innovations and the role of audiences."
100059,fine art,The aesthetic representation in one medium of what is reality in another. Encompasses all artistic media.,
100060,graphic arts,"The study of a broad range of art forms, typically two-dimensional.","May include calligraphy, photography, drawing, painting, printmaking, lithography, typography, serigraphy (silk-screen printing), computer graphics, and bindery. May also include drawn plans and layouts for interior and architectural designs."
100061,graphic design,The study of/training in the use of artistic techniques effectively to communicate ideas and information to business and consumer audiences via forms of printed media.,
100062,illustration,The study of/training in the use of artistic techniques effectively to communicate ideas and information to business and consumer audiences via drawn or painted images.,
100063,photography,The study of/training in all aspects of the creation of still images.,
